id;fecha_inventario;bodega;id_effi;nombre;categoria;excluido;razon_exclusion;inventario_teorico;inventario_fisico;diferencia;costo_manual;estado;contado_por;fecha_conteo;notas
3112;2026-04-30;—;259;TOALLA DE PAPEL PARA COCINA x 3 Rollos;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;1;Sin gestión de stock;NULL;NULL;NULL;11000.00;pendiente;NULL;NULL;NULL
3113;2026-04-30;—;260;PAPEL PARAFINADO ROLLO X 100M EMPAQUES Y DESECHABLES LA MAYORISTA;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;1;Activos fijos, moldes, herramientas y consumibles — no van en inventario físico;NULL;NULL;NULL;20000.00;pendiente;NULL;NULL;NULL
3115;2026-04-30;—;268;VITRINA RODAJA MADERA;XMATERIAL DE APOYO VENTAS POP;1;Material de apoyo ventas POP — no se inventaría;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3279;2026-04-30;—;270;MOLDE POLICARBONATO AMAZON FIGURAS 9 - 12g X UNIDAD;T05.02. A.F. MOLDES;1;Activos fijos, moldes, herramientas y consumibles — no van en inventario físico;NULL;NULL;NULL;55000.00;pendiente;NULL;NULL;NULL
3280;2026-04-30;—;271;MOLDE POLICARBONATO AMAZON TABLETA  CUADRICULA X UNIDAD;T05.02. A.F. MOLDES;1;Activos fijos, moldes, herramientas y consumibles — no van en inventario físico;NULL;NULL;NULL;15000.00;pendiente;NULL;NULL;NULL
3281;2026-04-30;—;280;BATA DESECHABLE POLIPROPILENO X UNIDAD;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;1;Activos fijos, moldes, herramientas y consumibles — no van en inventario físico;NULL;NULL;NULL;5090.00;pendiente;NULL;NULL;NULL
3282;2026-04-30;—;281;GORRO DESECHABLE BLANCO X 100 UNIDADS;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;1;Activos fijos, moldes, herramientas y consumibles — no van en inventario físico;NULL;NULL;NULL;19300.00;pendiente;NULL;NULL;NULL
3283;2026-04-30;—;282;GUANTES DE NITRILO TALLA M CAJA X 50 PARES;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;1;Activos fijos, moldes, herramientas y consumibles — no van en inventario físico;NULL;NULL;NULL;33000.00;pendiente;NULL;NULL;NULL
3284;2026-04-30;—;286;Amonio Cuaternario x litro (Limpieza y desinfección);T05.06. CONSUMIBLES PRODUCCION Y VENTAS;1;Activos fijos, moldes, herramientas y consumibles — no van en inventario físico;NULL;NULL;NULL;12700.00;pendiente;NULL;NULL;NULL
3127;2026-04-30;—;304;Bowld Metálico de 32cms;T05.03. HERRAMIENTAS;1;Sin gestión de stock;NULL;NULL;NULL;18500.00;pendiente;NULL;NULL;NULL
3133;2026-04-30;—;340;VINAGRE / ACIDO ACETICO X 3 LITROS / MINORISTA (LIMPIEZA Y DESINFECCION);T05.06. CONSUMIBLES PRODUCCION Y VENTAS;1;Sin gestión de stock;NULL;NULL;NULL;4800.00;pendiente;NULL;NULL;NULL
3141;2026-04-30;—;369;DESCUENTOS;;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3145;2026-04-30;—;391;HABLADOR MADERA;XMATERIAL DE APOYO VENTAS POP;1;Material de apoyo ventas POP — no se inventaría;NULL;NULL;NULL;28000.00;pendiente;NULL;NULL;NULL
3285;2026-04-30;—;408;MOLDE POLICARBONATO AMAZON TABLETA RAYA X UNIDAD;T05.02. A.F. MOLDES;1;Activos fijos, moldes, herramientas y consumibles — no van en inventario físico;NULL;NULL;NULL;55000.00;pendiente;NULL;NULL;NULL
3286;2026-04-30;—;409;MOLDE POLICARBONATO AMAZON FIGURAS  VARIAS X UNIDAD;T05.02. A.F. MOLDES;1;Activos fijos, moldes, herramientas y consumibles — no van en inventario físico;NULL;NULL;NULL;55000.00;pendiente;NULL;NULL;NULL
3151;2026-04-30;—;415;O01.01. Papeleria;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3152;2026-04-30;—;416;O01.02. Impuestos;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3153;2026-04-30;—;417;O01.03. Gastos de publicidad e imagen;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3154;2026-04-30;—;418;O01.04. Gastos desarrollo de producto;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3155;2026-04-30;—;419;O01.05. Fletes Ventas OS;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3156;2026-04-30;—;420;O01.06. Gastos de Venta OS;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3157;2026-04-30;—;421;O01.07. Software;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3158;2026-04-30;—;422;O01.08. Gestiones administrativas y legales;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3159;2026-04-30;—;423;O01.09. Viaticos;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3160;2026-04-30;—;424;O01.10. Gastos Bancarios;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3161;2026-04-30;—;425;O01.11. Arriendo;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3162;2026-04-30;—;426;O01.12. Servicios Publicos;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3163;2026-04-30;—;427;O01.13. Ferreteria;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3164;2026-04-30;—;428;O01.14. Feria viaticos y general;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3165;2026-04-30;—;429;O01.15. Feria gastos de venta;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3166;2026-04-30;—;430;O01.16. Feria insumos;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3167;2026-04-30;—;431;O01.17. Gastos en mejoras y varios;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3168;2026-04-30;—;432;O01.18. Uniformes y dotacion;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3169;2026-04-30;—;433;O01.19. Consumibles produccion;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3170;2026-04-30;—;434;O01.20. Gastos Generales;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3171;2026-04-30;—;435;O01.21. Tecnologia;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3172;2026-04-30;—;436;O01.22. Fletes compras;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3173;2026-04-30;—;437;O01.23. Estudios de mercado y competencia;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3174;2026-04-30;—;438;O01.30. Por Identificar;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3175;2026-04-30;—;439;O06.01. Herramientas;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3176;2026-04-30;—;440;O06.02. Maquinas;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3177;2026-04-30;—;441;O06.03. Activos Muebles;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3178;2026-04-30;—;442;O06.04. Activos Fijos y reformas;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3179;2026-04-30;—;443;O06.05. Vehiculos;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3180;2026-04-30;—;444;O06.06. Tecnologia;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3181;2026-04-30;—;445;O06.07. Molderia general;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3182;2026-04-30;—;446;O06.08. Material POP;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3183;2026-04-30;—;447;O06.20. Otros Activos;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3184;2026-04-30;—;448;O07.01. Honorarios a socios;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3185;2026-04-30;—;449;O07.02. Comisiones miembros;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3186;2026-04-30;—;450;O07.03. Honorarios a terceros;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3187;2026-04-30;—;451;O07.04. Salarios;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3188;2026-04-30;—;452;O07.05. Eps;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3189;2026-04-30;—;453;O07.06. Arl;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3190;2026-04-30;—;454;O07.07. Pension;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3191;2026-04-30;—;455;O07.08. Parafiscales;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3192;2026-04-30;—;456;O07.09. Primas;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3193;2026-04-30;—;457;O07.10. Cesantias;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3194;2026-04-30;—;458;O07.11. Bonificaciones e incentivos;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3195;2026-04-30;—;459;O07.12. Pago Dividendos;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3196;2026-04-30;—;460;O07.13. Subsidio de transporte;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3197;2026-04-30;—;461;O07.14. Comision x desempéño;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3198;2026-04-30;—;462;O07.15. Pagos x Dia;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3199;2026-04-30;—;463;O07.16. Comisiones red de amigos;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3200;2026-04-30;—;464;O07.17. Comisiones a terceros;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3201;2026-04-30;—;465;O07.18. x;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3202;2026-04-30;—;466;O07.19. x;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3203;2026-04-30;—;467;O07.20. Pagos de Honorarios y dividendos General;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3204;2026-04-30;—;468;O08.04. Pago Intereses Socios;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3205;2026-04-30;—;469;O08.05. Pago Intereses Familiares y amigos;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3206;2026-04-30;—;470;O08.06. Pago Intereses Entidades Financieras;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3207;2026-04-30;—;471;O08.10. Pago Deudas e Intereses:;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3208;2026-04-30;—;472;O09.04. Inversiones Financieras;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3209;2026-04-30;—;473;O10.01. Cursos y mentorias;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3210;2026-04-30;—;474;O10.02. Talleres y seminarios;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3211;2026-04-30;—;475;O10.02. Estudios periodos medios;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3212;2026-04-30;—;476;O10.10. Capacitaciones y Asesorias General;GASTOS;1;Sin gestión de stock;NULL;NULL;NULL;0.00;pendiente;NULL;NULL;NULL
3231;2026-04-30;—;522;Exhibidor tableta pequeño;;1;Sin gestión de stock;NULL;NULL;NULL;12000.00;pendiente;NULL;NULL;NULL
3251;2026-04-30;—;564;Exhibidor Tableta Grande;;1;Sin gestión de stock;NULL;NULL;NULL;22000.00;pendiente;NULL;NULL;NULL
3302;2026-04-30;Principal;NM-05e27b;Chocobeetal 130 en proceso ;NO MATRICULADO (UND);0;NULL;0.00;8.00;8.00;0.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 16:06:34;Artículo no matriculado. Unidad: UND
3303;2026-04-30;Principal;NM-38373a;Envase 750 etiquetado ;NO MATRICULADO (UND);0;NULL;0.00;4.00;4.00;0.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 16:08:12;Artículo no matriculado. Unidad: UND
3304;2026-04-30;Principal;NM-d2d991;Envase 110 etiquetado;NO MATRICULADO (UND);0;NULL;0.00;8.00;8.00;0.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 16:09:24;Artículo no matriculado. Unidad: UND
3305;2026-04-30;Principal;NM-4dcac1;Envase 500 etiquetado ;NO MATRICULADO (UND);0;NULL;0.00;8.00;8.00;0.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 16:10:48;Artículo no matriculado. Unidad: UND
3306;2026-04-30;Principal;NM-4d5f18;Miel no conforme 275 ;NO MATRICULADO (UND);0;NULL;0.00;1.00;1.00;0.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 16:18:25;Artículo no matriculado. Unidad: UND
2871;2026-04-30;Principal;11;CHOCOMIEL OS 250cc;TPT.01. VENTA AGROECOLOGICOS VARIOS;0;NULL;4.00;0.00;-4.00;7642.00;contado;lauramarcela758@gmail.com;2026-05-04 15:01:36;NULL
3058;2026-04-30;Principal;13;Miel Os San Carlos 150 grs;TPT.01. VENTA AGROECOLOGICOS VARIOS;0;NULL;0.00;0.00;0.00;4589.00;contado;lauramarcela758@gmail.com;2026-05-04 15:15:37;NULL
3059;2026-04-30;Principal;14;Miel Os San Carlos 275 grs;TPT.01. VENTA AGROECOLOGICOS VARIOS;0;NULL;-1.00;0.00;1.00;7361.50;contado;lauramarcela758@gmail.com;2026-05-04 15:15:53;NULL
3060;2026-04-30;Principal;15;Miel Os San Carlos 640 grs;TPT.01. VENTA AGROECOLOGICOS VARIOS;0;NULL;-9.00;0.00;9.00;13690.00;contado;lauramarcela758@gmail.com;2026-05-04 15:16:08;NULL
2872;2026-04-30;Principal;16;Chocolate Puro Cacao 500 grs Bombones LT;TPT.01. VENTA AGROECOLOGICOS VARIOS;0;NULL;5.00;2.00;-3.00;23913.00;contado;lauramarcela758@gmail.com;2026-05-04 14:58:37;NULL
2873;2026-04-30;Principal;20;POLEN DE ABEJA OS 80grs;TPT.01. VENTA AGROECOLOGICOS VARIOS;0;NULL;11.00;3.00;-8.00;6252.00;contado;lauramarcela758@gmail.com;2026-05-04 15:18:09;NULL
2874;2026-04-30;Principal;21;PROPOLEO OS 150 grs;TPT.01. VENTA AGROECOLOGICOS VARIOS;0;NULL;17.00;10.00;-7.00;4452.00;contado;lauramarcela758@gmail.com;2026-05-04 15:18:47;NULL
2875;2026-04-30;Principal;25;CREMA DE MANI OS 130 GRS;TPT.01. VENTA AGROECOLOGICOS VARIOS;0;NULL;26.00;29.00;3.00;6232.22;contado;lauramarcela758@gmail.com;2026-05-04 15:02:11;NULL
3061;2026-04-30;Principal;53;MIEL SAN MIGUEL CRUDA x KILO;T01.03. AGROECOLOGICOS GRAL;0;NULL;-0.95;0.00;0.95;16000.00;contado;lauramarcela758@gmail.com;2026-05-04 15:26:49;NULL
2876;2026-04-30;Principal;55;ALMENDRA DE CACAO SC LT KG;T01.03. AGROECOLOGICOS GRAL;0;NULL;38.00;38.10;0.10;15000.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 14:51:16;NULL
3065;2026-04-30;Principal;60;MIEL FILTRADA SAN CARLOS x KILO;T01.03. AGROECOLOGICOS GRAL;0;NULL;0.00;0.00;0.00;22000.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 15:08:04;NULL
3067;2026-04-30;Principal;64;TAPA METALICA B.53 UNICOR;T03.01. ENVASES Y TAPAS;0;NULL;0.00;0.00;0.00;325.25;contado;lauramarcela758@gmail.com;2026-05-04 15:39:11;NULL
3068;2026-04-30;Principal;68;TAPA METALICA DORADA B.38 UNICOR;T03.01. ENVASES Y TAPAS;0;NULL;0.00;0.00;0.00;183.20;contado;lauramarcela758@gmail.com;2026-05-04 15:30:04;NULL
3048;2026-04-30;Principal;70;ENVASE PET DISCORDOBA 500 CC B.28;T999. PRODUCTOS QUE NO SE USAN;0;NULL;0.00;0.00;0.00;475.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 12:15:36;Anulado en Effi 29-abr (depuración) — stock al 29-abr según trazabilidad. Contar físico para confirmar baja real.
2877;2026-04-30;Principal;73;CHOCOLATE 100p X BLOQUE LT KG;T01.03. AGROECOLOGICOS GRAL;0;NULL;3.79;0.40;-3.39;33200.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 14:56:54;NULL
3069;2026-04-30;Principal;77;ENVASE VIDRIO R 2670, 230 CC B.63 UNICOR;T03.01. ENVASES Y TAPAS;0;NULL;0.00;0.00;0.00;806.00;contado;lauramarcela758@gmail.com;2026-05-04 15:15:42;NULL
2878;2026-04-30;Principal;78;TAPA METALICA B.63 X UNIDAD;T03.01. ENVASES Y TAPAS;0;NULL;84.00;19.00;-65.00;370.00;contado;lauramarcela758@gmail.com;2026-05-04 15:34:58;NULL
2879;2026-04-30;Principal;80;CASCARILLA DE CACAO LT x KL;T01.03. AGROECOLOGICOS GRAL;0;NULL;94.90;96.00;1.10;4500.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 14:48:26;NULL
3057;2026-04-30;Principal;82;ENVASE VIDRIO R 3590, 255 CC B.53 C Tapa  UNICOR;T999. PRODUCTOS QUE NO SE USAN;0;NULL;0.00;16.00;16.00;1270.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 12:18:12;Anulado en Effi 29-abr (depuración) — stock al 29-abr según trazabilidad. Contar físico para confirmar baja real.
3070;2026-04-30;Principal;85;Envase Vidrio R 1264 Flint, 750cc, B. 63 C Tapa UNICOR;T03.01. ENVASES Y TAPAS;0;NULL;0.00;5.00;5.00;2205.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 12:13:00;NULL
2880;2026-04-30;Principal;86;Envase Vidrio R mb110h Flint, 110cc, B. 46 C Tapa UNICOR;T03.01. ENVASES Y TAPAS;0;NULL;112.00;0.00;-112.00;1000.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 12:14:54;NULL
2881;2026-04-30;Principal;87;Envase Vidrio R 2670 Flint, 230cc, B.63, C Tapa UNICOR;T03.01. ENVASES Y TAPAS;0;NULL;102.00;2.00;-100.00;1060.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 12:13:17;NULL
3071;2026-04-30;Principal;88;Envase Vidrio 1263 Flint, 500cc, b.63, C Tapa UNICOR;T03.01. ENVASES Y TAPAS;0;NULL;0.00;0.00;0.00;1555.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 12:07:04;NULL
2882;2026-04-30;Principal;90;Etiqueta Origen Silvestre tapa;T03.21. ETIQUETAS ADESIVAS;0;NULL;79.00;0.00;-79.00;390.00;contado;lauramarcela758@gmail.com;2026-05-04 13:00:33;NULL
3072;2026-04-30;Principal;93;CHOCOLATE MESA OS MOLDEADO X KG MOLDE  9 a 12 g;T01.03. AGROECOLOGICOS GRAL;0;NULL;-3.05;2.80;5.85;35420.00;contado;amaragonzalez21valen@gmail.com;2026-05-04 14:55:48;NULL
2883;2026-04-30;Principal;95;BOLSA FLEX UP MINI 133 X 170 80-160 GRS ALICO;T03.03. ENVASES ECOLOGICOS;0;NULL;3.00;2.00;-1.00;315.20;contado;amaragonzalez21valen@gmail.com;2026-05-04 12:52:22;NULL
